RT,Idiom_lang,relatedness,lang_group,subj
0.783432381,EN-idiom,Control,Bilingual,33
0.93043856,EN-idiom,Control,Bilingual,34
0.709593533,EN-idiom,Control,Bilingual,35
0.677920932,EN-idiom,Control,Bilingual,36
0.742283594,EN-idiom,Control,Bilingual,37
0.751820962,EN-idiom,Control,Bilingual,38
0.859148788,EN-idiom,Control,Bilingual,39
1.065565063,EN-idiom,Control,Bilingual,40
0.863665745,EN-idiom,Control,Bilingual,41
0.819341261,EN-idiom,Control,Bilingual,42
1.11526717,EN-idiom,Control,Bilingual,43
0.813083178,EN-idiom,Control,Bilingual,44
0.932469334,EN-idiom,Control,Bilingual,45
0.700593067,EN-idiom,Control,Bilingual,46
0.679239881,EN-idiom,Control,Bilingual,47
0.698869402,EN-idiom,Control,Bilingual,48
0.809577591,EN-idiom,Control,Bilingual,49
0.789132341,EN-idiom,Control,Bilingual,50
0.803588404,EN-idiom,Control,Bilingual,51
1.200930323,EN-idiom,Control,Bilingual,52
0.886799846,EN-idiom,Control,Bilingual,53
0.742624554,EN-idiom,Control,Monolingual,54
0.648099282,EN-idiom,Control,Monolingual,55
0.582846932,EN-idiom,Control,Monolingual,56
1.060224999,EN-idiom,Control,Monolingual,57
0.63718303,EN-idiom,Control,Monolingual,58
0.754776789,EN-idiom,Control,Monolingual,59
0.73296122,EN-idiom,Control,Monolingual,60
0.677672474,EN-idiom,Control,Monolingual,61
0.656653711,EN-idiom,Control,Monolingual,62
0.568474122,EN-idiom,Control,Monolingual,63
0.592162556,EN-idiom,Control,Monolingual,64
0.615359683,EN-idiom,Control,Monolingual,65
0.693585257,EN-idiom,Control,Monolingual,66
0.875262795,EN-idiom,Control,Monolingual,67
0.588529756,EN-idiom,Control,Monolingual,68
0.794716161,EN-idiom,Control,Monolingual,69
0.711645722,EN-idiom,Control,Monolingual,70
0.801463297,EN-idiom,Control,Monolingual,71
0.653146454,EN-idiom,Control,Monolingual,72
1.111909923,EN-idiom,Control,Monolingual,73
0.64924661,EN-idiom,Control,Monolingual,74
0.652052868,EN-idiom,Control,Monolingual,75
0.566064334,EN-idiom,Control,Monolingual,76
0.762124152,EN-idiom,Control,Monolingual,77
0.723464298,EN-idiom,Control,Monolingual,78
0.625288907,EN-idiom,Control,Monolingual,79
0.609609365,EN-idiom,Control,Monolingual,80
0.657603058,EN-idiom,Control,Monolingual,81
0.50813361,EN-idiom,Control,Monolingual,82
0.600008072,EN-idiom,Control,Monolingual,83
0.716502057,EN-idiom,Control,Monolingual,84
0.69699477,EN-idiom,Control,Monolingual,85
0.692373293,EN-idiom,Control,Monolingual,86
0.573387886,EN-idiom,Control,Monolingual,87
0.674366581,EN-idiom,Control,Monolingual,88
0.603846519,EN-idiom,Control,Monolingual,89
0.660058934,EN-idiom,Control,Monolingual,90
